open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709251200000,125.7700,126.7220,125.6400,126.0960,124208,1709251379999,15676610.3070,12941,77082,9730016.2790,0
1709251380000,126.0950,127.0630,126.0950,126.8350,90337,1709251559999,11437682.2390,9771,50606,6407082.6000,0
1709251560000,126.8360,127.2000,126.6590,127.1960,63751,1709251739999,8095643.2710,7101,31160,3957168.8350,0
1709251740000,127.1930,127.7440,127.0820,127.6010,86961,1709251919999,11085091.2880,8493,43061,5487712.3360,0
1709251920000,127.6000,128.1350,127.3830,127.5730,172529,1709252099999,22056570.3440,13325,72388,9251834.2390,0
1709252100000,127.5720,129.1320,127.3400,129.0270,154107,1709252279999,19777702.8300,14343,93216,11965155.4200,0
1709252280000,129.0260,129.0920,128.6570,128.8770,92258,1709252459999,11887699.5660,8452,47294,6093585.1720,0
1709252460000,128.8760,128.8760,128.2500,128.6610,80279,1709252639999,10316858.6750,6850,31968,4107258.7730,0
1709252640000,128.6600,129.5970,128.6600,129.3740,106830,1709252819999,13806645.6600,10848,63414,8193773.1540,0
1709252820000,129.3740,129.3740,128.7500,128.8780,75809,1709252999999,9779129.3570,6441,27919,3600425.2160,0
1709253000000,128.8910,129.3160,128.6200,129.2370,81125,1709253179999,10459879.4580,7106,47124,6076653.8430,0
1709253180000,129.2340,129.6410,128.7530,129.5630,70897,1709253359999,9151382.0990,6704,32893,4247387.4560,0
1709253360000,129.5700,129.8800,128.9000,128.9040,70244,1709253539999,9092746.5540,8540,29591,3832523.7960,0
1709253540000,128.9110,129.3470,128.8210,129.0430,49876,1709253719999,6435539.3740,4948,24207,3123334.2360,0
1709253720000,129.0460,129.4070,129.0370,129.1160,41522,1709253899999,5366063.7030,5081,26970,3485442.8610,0
1709253900000,129.1150,129.3540,128.7400,128.7560,68040,1709254079999,8778929.9020,6748,25757,3323662.8610,0
1709254080000,128.7560,129.5590,128.7050,129.4530,54576,1709254259999,7050428.1290,6491,30127,3891854.3100,0
1709254260000,129.4530,131.1990,129.3290,130.9720,200628,1709254439999,26144953.9540,19565,128336,16728485.2450,0
1709254440000,130.9730,132.0000,130.9340,131.9130,134796,1709254619999,17714503.6740,16448,70907,9318875.6350,0
1709254620000,131.9120,133.3000,131.8040,133.1500,213243,1709254799999,28253917.7110,24054,122679,16258405.9330,0
1709254800000,133.1500,133.7190,131.8570,133.5810,231571,1709254979999,30759796.5970,25243,107723,14318530.4890,0
1709254980000,133.5810,135.0000,133.5580,134.0160,314461,1709255159999,42227024.7970,37048,161481,21683048.0890,0
1709255160000,134.0150,134.0350,131.9010,132.3100,221977,1709255339999,29513505.6830,21594,72220,9601569.9270,0
1709255340000,132.3100,133.2600,132.0000,132.9130,141818,1709255519999,18802002.4150,14338,76912,10197545.1810,0
1709255520000,132.9130,133.1370,132.0440,132.0440,88325,1709255699999,11707848.1060,10870,32990,4373861.8750,0
1709255700000,132.0440,132.8800,131.6880,132.2790,109604,1709255879999,14497704.2940,12016,54779,7250539.8520,0
1709255880000,132.2760,132.6310,132.2300,132.6260,52684,1709256059999,6975819.9860,7008,29533,3910468.5400,0
1709256060000,132.6290,133.2740,132.4740,132.9760,67503,1709256239999,8968704.3190,7253,40611,5395832.2390,0
1709256240000,132.9770,132.9770,132.6090,132.7350,39745,1709256419999,5275693.7450,5032,17413,2311505.7850,0
1709256420000,132.7340,133.1760,132.2210,132.6950,80328,1709256599999,10654019.9780,8101,35160,4665592.4970,0
1709256600000,132.6950,132.6950,131.6010,131.9000,128820,1709256779999,17000473.3120,12162,39156,5166774.6880,0
1709256780000,131.9010,132.2160,131.6000,132.1800,65276,1709256959999,8609750.4350,7439,30587,4035258.6470,0
1709256960000,132.1800,133.1390,132.1210,133.1270,79777,1709257139999,10593679.8100,8064,40459,5372188.2920,0
1709257140000,133.1270,135.6200,133.1260,135.5160,402791,1709257319999,54300900.2460,40977,226215,30486287.0540,0
1709257320000,135.5160,136.8990,135.2590,136.6990,305835,1709257499999,41660764.2430,29277,169300,23057914.0220,0
1709257500000,136.6990,137.4080,136.1560,136.2440,264024,1709257679999,36116548.9820,28802,130299,17831108.5590,0
1709257680000,136.2400,137.4150,135.6340,136.7250,185758,1709257859999,25364598.9830,23818,92519,12637444.9380,0
1709257860000,136.7300,136.8470,135.5030,135.9460,99295,1709258039999,13506820.9320,12653,40024,5446083.3010,0
1709258040000,135.9470,136.3750,135.5050,135.9410,82085,1709258219999,11160145.8530,11348,43574,5926391.6460,0
1709258220000,135.9350,135.9790,135.3120,135.8650,64367,1709258399999,8731905.1090,7882,27435,3722609.0660,0
1709258400000,135.8660,136.8790,135.3900,136.5810,93531,1709258579999,12738259.2580,11307,57805,7874401.7460,0
1709258580000,136.5880,136.6220,135.8160,135.8740,71709,1709258759999,9772693.1520,7103,25838,3521893.4680,0
1709258760000,135.8740,135.9480,134.4760,135.0670,147460,1709258939999,19923032.8660,15354,45804,6190333.0610,0
1709258940000,135.0640,135.6320,134.5510,135.2160,90585,1709259119999,12238167.9520,11595,41509,5609091.8850,0
1709259120000,135.2130,135.4980,134.3540,134.4420,106403,1709259299999,14345700.3160,10803,43028,5802455.7680,0
1709259300000,134.4420,134.8960,133.3300,133.4190,170011,1709259479999,22791290.3520,17728,63319,8492587.6450,0
1709259480000,133.4250,133.7110,132.6430,133.0000,226641,1709259659999,30178138.6790,18285,97807,13026562.6820,0
1709259660000,132.9990,133.4960,132.7510,133.3990,129911,1709259839999,17313641.3950,12961,79743,10629603.1190,0
1709259840000,133.4000,133.4480,132.7300,133.0680,68218,1709260019999,9073542.5950,7645,33771,4491636.6970,0
1709260020000,133.0680,133.5000,133.0000,133.1010,69468,1709260199999,9261392.1000,6894,40275,5370294.4880,0
1709260200000,133.1010,134.2980,132.8880,133.6410,103719,1709260379999,13859597.2260,10866,59642,7970867.6210,0
1709260380000,133.6370,133.8480,133.1420,133.3660,59098,1709260559999,7886570.6300,6936,29991,4002729.6300,0
1709260560000,133.3660,133.7360,132.7640,133.2000,72558,1709260739999,9665651.3230,9232,35877,4780000.6430,0
1709260740000,133.2010,133.4000,132.7460,133.3720,50207,1709260919999,6678761.4420,6713,23375,3109441.4760,0
1709260920000,133.3720,133.9590,133.3630,133.9230,69098,1709261099999,9242489.3990,7123,43015,5754187.0270,0
