open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,172.1500,172.1900,171.8900,172.0900,60686.12,1754006579999,10440470.749600,6404,32898.79,5659525.243500,0
1754006580000,172.0800,172.0800,171.6000,172.0200,80594.29,1754006759999,13850631.798200,7360,37150.30,6386116.358000,0
1754006760000,172.0100,172.0600,171.4800,171.8400,89673.47,1754006939999,15404351.217700,7909,34855.34,5988078.842500,0
1754006940000,171.8300,171.9100,171.0600,171.1100,130742.79,1754007119999,22400820.862620,10629,47883.99,8205717.367100,0
1754007120000,171.1100,171.1300,170.5200,170.8900,247547.54,1754007299999,42295303.742300,24910,88374.07,15097907.875800,0
1754007300000,170.9000,171.2500,170.4600,171.2500,111638.10,1754007479999,19066655.282600,11491,55031.39,9402181.195900,0
1754007480000,171.2500,171.8300,171.2200,171.6100,100487.27,1754007659999,17244914.805700,8546,68660.45,11783295.395400,0
1754007660000,171.6000,171.8800,171.5000,171.5600,57329.64,1754007839999,9842794.513600,6332,33306.25,5718727.150300,0
1754007840000,171.5600,171.7000,171.0100,171.0100,45640.86,1754008019999,7821973.126400,6157,23241.65,3983410.444500,0
1754008020000,171.0100,171.2900,170.6200,171.0300,63731.14,1754008199999,10891349.037700,7587,39328.88,6721526.879100,0
1754008200000,171.0300,171.1800,170.7300,170.8100,43956.93,1754008379999,7513730.121200,6627,21891.76,3741781.403800,0
1754008380000,170.8100,170.9700,170.3200,170.3500,70966.98,1754008559999,12100551.239300,7702,34090.63,5812205.406300,0
1754008560000,170.3600,170.9400,170.3500,170.7700,45837.31,1754008739999,7823395.113300,6474,26872.18,4586195.193000,0
1754008740000,170.7800,171.1500,170.6700,170.6800,35978.11,1754008919999,6150682.195100,5137,19399.82,3316689.595800,0
1754008920000,170.6700,170.9200,169.7600,169.9600,195065.61,1754009099999,33177905.610240,18070,65571.41,11153883.585700,0
1754009100000,169.9500,170.0100,169.2500,169.5200,189317.75,1754009279999,32100925.692500,17486,64787.85,10987120.217900,0
1754009280000,169.5300,169.6900,168.5000,168.6800,281086.11,1754009459999,47502951.339000,23567,78718.16,13305398.668100,0
1754009460000,168.6900,168.7200,167.2400,168.3300,689837.99,1754009639999,115885204.248060,55092,287581.31,48311237.584500,0
1754009640000,168.3300,169.9500,168.3200,169.9500,233915.04,1754009819999,39561491.819300,27706,142943.46,24172598.427100,0
1754009820000,169.9500,170.5000,169.6500,170.2400,177391.08,1754009999999,30197494.898640,13108,88987.12,15150146.340540,0
1754010000000,170.2500,170.7900,169.9000,170.6000,211349.26,1754010179999,36012464.469300,14279,135814.44,23140938.220200,0
1754010180000,170.5900,170.7500,169.6800,170.1200,170391.56,1754010359999,29025259.081000,19937,71947.88,12259560.436300,0
1754010360000,170.1200,170.3100,169.0800,169.4900,123711.50,1754010539999,20977472.083600,11647,49244.08,8349140.246300,0
1754010540000,169.5000,169.7800,168.9100,168.9400,97661.10,1754010719999,16541155.827700,10596,36646.82,6208716.283200,0
1754010720000,168.9400,169.0900,168.2400,168.4500,106698.08,1754010899999,18004354.715730,17635,50111.16,8457461.050000,0
1754010900000,168.4500,169.0000,168.2600,168.3600,107491.16,1754011079999,18131046.206900,13384,56868.16,9591993.482900,0
1754011080000,168.3600,169.4500,167.8600,169.3600,147979.15,1754011259999,24950242.058500,15883,83321.00,14054683.249300,0
1754011260000,169.3500,169.3500,168.5000,168.9200,93702.92,1754011439999,15829259.282100,11444,58488.25,9880902.236400,0
1754011440000,168.9300,169.7300,168.9200,169.4500,79153.81,1754011619999,13411165.864400,11084,48289.10,8181341.145400,0
1754011620000,169.4400,169.8800,169.3900,169.5700,59567.27,1754011799999,10105889.814400,8038,32284.37,5477435.127100,0
1754011800000,169.5700,169.7000,168.9000,169.2300,69975.19,1754011979999,11848347.644600,9118,31872.43,5396634.798200,0
1754011980000,169.2200,169.8300,169.0400,169.8300,48044.98,1754012159999,8136840.589700,6914,25917.56,4389769.837900,0
1754012160000,169.8400,170.4000,169.8100,170.1500,173384.61,1754012339999,29496301.451540,18289,113899.53,19372167.289340,0
1754012340000,170.1500,170.2000,169.6500,170.1400,59724.34,1754012519999,10151140.342600,7831,36821.52,6258417.456600,0
1754012520000,170.1400,170.3200,169.8500,170.1900,43980.67,1754012699999,7483496.840200,6131,24088.73,4098974.015700,0
1754012700000,170.1900,170.5100,169.7300,169.9200,73083.47,1754012879999,12441087.059400,9726,40117.51,6830293.814400,0
1754012880000,169.9300,170.0400,169.0600,169.0700,70372.88,1754013059999,11925772.610100,9164,20770.05,3520482.602300,0
1754013060000,169.0600,169.8700,169.0600,169.8600,51528.61,1754013239999,8728389.802400,7724,26813.79,4542400.393200,0
1754013240000,169.8600,169.8800,169.0200,169.1700,39788.15,1754013419999,6744831.898900,6153,18052.06,3060014.207000,0
1754013420000,169.1700,169.5700,168.7800,169.4600,64745.19,1754013599999,10945890.579600,13195,28690.51,4851397.358900,0
1754013600000,169.4500,169.8400,169.3200,169.6600,60177.33,1754013779999,10202353.301600,8039,33770.03,5725638.706000,0
1754013780000,169.6600,169.7200,169.1100,169.5600,38660.84,1754013959999,6550165.758300,5872,21444.96,3633065.820600,0
1754013960000,169.5700,170.3200,169.4900,170.2500,58471.72,1754014139999,9946399.697640,10923,29632.13,5040415.660040,0
1754014140000,170.2500,170.7400,169.8600,170.7300,146290.43,1754014319999,24918867.705400,13629,92624.10,15775002.224300,0
1754014320000,170.7300,171.1100,170.6200,171.0700,105994.91,1754014499999,18111147.758100,8813,62541.83,10687556.281300,0
1754014500000,171.0700,171.2900,170.8400,171.2700,67829.43,1754014679999,11602883.850750,7632,46272.98,7915753.597750,0
1754014680000,171.2600,171.5900,171.1800,171.5000,143218.51,1754014859999,24545941.817540,11943,72167.43,12368655.654340,0
1754014860000,171.5000,171.6300,171.1000,171.6100,61647.82,1754015039999,10566830.882300,6741,37840.73,6486651.040000,0
1754015040000,171.6100,171.7400,171.2700,171.3800,65049.43,1754015219999,11157039.910540,13311,32721.47,5613227.537640,0
1754015220000,171.3800,171.4400,170.8800,170.9600,40353.05,1754015399999,6902716.120300,5237,12688.79,2170401.982600,0
1754015400000,170.9700,171.0700,170.6900,171.0700,39458.18,1754015579999,6742854.514300,6656,16681.05,2850683.880700,0
1754015580000,171.0600,171.4200,170.9000,171.1900,34792.13,1754015759999,5953795.639200,6007,18394.49,3147645.098200,0
1754015760000,171.1800,171.5400,171.1100,171.4900,23087.22,1754015939999,3956430.833300,4920,16193.18,2774895.524500,0
1754015940000,171.4800,171.6300,171.2600,171.4900,37061.09,1754016119999,6356077.713400,4813,22998.13,3944360.162200,0
1754016120000,171.4800,171.4800,171.0500,171.0900,27022.08,1754016299999,4626393.786900,4793,12788.59,2189444.006800,0
1754016300000,171.0900,171.5300,170.9200,171.4400,46734.61,1754016479999,8000824.309600,6184,30437.07,5210818.633400,0
1754016480000,171.4400,171.4800,171.1800,171.2300,27242.09,1754016659999,4668533.998600,5161,17933.19,3073242.215300,0
1754016660000,171.2400,171.6200,171.2300,171.4700,25979.79,1754016839999,4454887.216800,5070,15114.95,2591658.774600,0
1754016840000,171.4700,171.5700,171.2800,171.3100,16366.38,1754017019999,2805525.169700,4228,8869.41,1520407.667300,0
1754017020000,171.3000,171.4600,171.1800,171.3100,18996.22,1754017199999,3254843.597400,3790,11997.28,2055755.342900,0
1754017200000,171.3100,171.4200,170.9000,170.9000,35770.91,1754017379999,6125068.450700,5847,12200.14,2089668.748200,0
1754017380000,170.9100,171.1800,170.8500,171.1500,28091.34,1754017559999,4803804.364500,4884,12978.27,2219446.991400,0
1754017560000,171.1500,171.3600,171.1100,171.1600,18921.13,1754017739999,3240161.243400,4625,9577.94,1640055.808200,0
1754017740000,171.1600,171.2700,170.9300,171.0100,33020.67,1754017919999,5649983.744400,4361,10007.35,1712372.181900,0
1754017920000,171.0100,171.3700,171.0100,171.2200,27380.58,1754018099999,4688384.619900,4352,15217.95,2605672.619300,0
1754018100000,171.2200,171.5300,171.1500,171.5300,21093.31,1754018279999,3614004.181400,5569,12558.71,2151701.561100,0
1754018280000,171.5300,171.8100,171.3000,171.7300,32123.90,1754018459999,5512183.889400,5045,18935.58,3248915.578000,0
1754018460000,171.7400,171.9900,171.6500,171.9500,32075.32,1754018639999,5512890.476500,4852,19787.13,3400877.042900,0
1754018640000,171.9500,172.0500,171.6400,171.9700,54460.65,1754018819999,9364224.327900,5565,31536.04,5422557.762600,0
1754018820000,171.9600,172.0800,171.8200,171.9600,26726.22,1754018999999,4594679.696600,4100,13177.94,2265459.430500,0
1754019000000,171.9600,172.0800,171.8100,171.9500,29492.05,1754019179999,5071282.666400,4261,11857.28,2038887.547400,0
