open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722470400000,171.6320,172.1700,171.5010,171.8550,90550,1722470579999,15561780.6870,10154,55413,9524359.8230,0
1722470580000,171.8550,172.7100,171.8550,172.6590,74715,1722470759999,12880504.3430,8108,43597,7514892.4540,0
1722470760000,172.6590,172.8590,172.3840,172.5100,43015,1722470939999,7427176.3710,4363,15197,2624050.3680,0
1722470940000,172.5110,172.8290,172.4440,172.4760,23509,1722471119999,4059018.2140,3263,10370,1790392.3310,0
1722471120000,172.4760,172.4760,172.0000,172.1970,20257,1722471299999,3486977.4830,2742,7857,1352392.7940,0
1722471300000,172.1980,172.7820,172.1290,172.3060,34235,1722471479999,5904022.1720,3660,19877,3427848.1280,0
1722471480000,172.3060,172.4200,172.1350,172.1780,16478,1722471659999,2837991.3890,2202,7636,1314988.8780,0
1722471660000,172.1770,172.1770,171.8950,171.9340,32056,1722471839999,5513918.2700,3419,9273,1594923.0950,0
1722471840000,171.9350,172.0150,171.4060,171.4780,42436,1722472019999,7283585.0120,4153,12954,2223682.6280,0
1722472020000,171.4790,171.9700,171.2710,171.3210,64243,1722472199999,11021180.3010,6329,29679,5092830.0220,0
1722472200000,171.3180,171.7130,171.0240,171.6070,49854,1722472379999,8542439.9940,5806,23232,3982677.0930,0
1722472380000,171.6010,172.0610,171.3010,172.0210,23452,1722472559999,4027341.2720,3638,13186,2264513.0500,0
1722472560000,172.0200,172.3790,171.8330,172.3430,31130,1722472739999,5357390.4240,3652,20839,3586589.6930,0
1722472740000,172.3420,172.5310,172.2390,172.3490,28417,1722472919999,4899591.6130,3055,17736,3058098.1920,0
1722472920000,172.3370,172.4090,171.8270,171.8790,12200,1722473099999,2099604.3080,1860,5467,940910.5070,0
1722473100000,171.8790,171.8790,171.2000,171.4600,27551,1722473279999,4723332.2350,3749,11556,1981274.0800,0
1722473280000,171.4600,172.0600,171.4010,171.6020,52706,1722473459999,9048527.5440,5274,14988,2572508.5900,0
1722473460000,171.6010,172.0330,171.5920,171.7240,20445,1722473639999,3513360.0110,2887,11421,1962609.3170,0
1722473640000,171.7240,171.7600,171.4980,171.6260,11887,1722473819999,2040425.9450,1736,5550,952690.5090,0
1722473820000,171.6270,172.0480,171.6050,171.9350,18611,1722473999999,3200114.1190,2301,11144,1916114.9590,0
1722474000000,171.9350,172.1190,171.7620,172.1000,17107,1722474179999,2941892.5100,2624,10346,1779366.0940,0
1722474180000,172.1000,172.3500,171.8850,171.9910,20660,1722474359999,3556772.4220,2722,11042,1901026.1990,0
1722474360000,171.9940,172.0160,171.2180,171.3170,29366,1722474539999,5034934.2290,3487,11329,1942103.2440,0
1722474540000,171.3120,171.8330,171.0140,171.8330,53613,1722474719999,9186218.7430,5672,28892,4951925.7830,0
1722474720000,171.8330,172.0530,171.6300,172.0240,25538,1722474899999,4390158.3280,3870,15985,2747917.4990,0
1722474900000,172.0230,172.0520,171.5950,171.6120,14550,1722475079999,2500080.7500,2418,8583,1474841.1790,0
1722475080000,171.6050,171.8640,171.5000,171.7400,12728,1722475259999,2184777.8340,2347,7226,1240440.0810,0
1722475260000,171.7400,171.7400,171.2630,171.3280,18214,1722475439999,3122548.3450,2935,7719,1323456.9750,0
1722475440000,171.3280,171.4420,171.1280,171.4240,26142,1722475619999,4476793.5400,2937,11190,1916641.7250,0
1722475620000,171.4240,171.9000,171.3690,171.8130,17472,1722475799999,3000836.8890,2481,10899,1871705.4760,0
1722475800000,171.8130,171.8290,171.1880,171.2200,23135,1722475979999,3964175.4460,2841,5823,998013.5530,0
1722475980000,171.2200,171.3940,170.7100,170.7620,100943,1722476159999,17259789.4890,7341,24204,4139292.6180,0
1722476160000,170.7600,171.0270,170.0010,170.9990,217302,1722476339999,37042971.8980,17473,85038,14500379.0680,0
1722476340000,171.0000,171.5160,170.6660,171.5090,38980,1722476519999,6669445.3890,4209,19775,3383921.0940,0
1722476520000,171.5100,171.8390,171.3970,171.7970,35830,1722476699999,6147469.5320,3930,20209,3467823.0830,0
1722476700000,171.7870,171.7870,171.4500,171.6250,16962,1722476879999,2910542.7780,2635,6393,1096962.7800,0
1722476880000,171.6240,171.7770,171.4590,171.5430,18016,1722477059999,3091957.5140,2864,8870,1522169.5180,0
1722477060000,171.5430,171.5430,171.0230,171.1350,22042,1722477239999,3773535.6780,3318,10833,1854590.4540,0
1722477240000,171.1300,171.1840,170.9460,171.1080,26657,1722477419999,4559903.6640,3270,9336,1597073.9530,0
1722477420000,171.1070,171.3700,171.1000,171.1830,33316,1722477599999,5703741.6590,2993,16358,2800401.7180,0
1722477600000,171.1830,171.3920,171.1520,171.2190,22027,1722477779999,3772786.9840,2916,7492,1283216.5980,0
1722477780000,171.2190,171.2190,170.4170,170.5540,89542,1722477959999,15282758.1840,7513,27822,4747664.2990,0
1722477960000,170.5550,171.1080,170.4280,171.0150,41987,1722478139999,7171033.5640,4033,20465,3495765.3730,0
1722478140000,171.0000,171.5390,170.7790,171.5390,24148,1722478319999,4134223.8850,3213,15440,2643582.0600,0
1722478320000,171.5380,171.5540,171.1860,171.2710,22497,1722478499999,3857595.4610,2574,12412,2128300.1820,0
1722478500000,171.2710,171.3370,170.8000,171.1660,18497,1722478679999,3163406.0220,2703,8674,1483515.9050,0
1722478680000,171.1650,171.3550,170.5030,170.8030,33841,1722478859999,5783961.0930,4005,20003,3419700.0700,0
1722478860000,170.8030,170.9130,169.3820,169.5350,218775,1722479039999,37190087.7190,18349,74158,12607986.6600,0
1722479040000,169.5340,170.1010,169.4500,169.8700,128608,1722479219999,21832689.0950,11513,58010,9846316.8890,0
1722479220000,169.8740,169.9400,169.5890,169.5890,59983,1722479399999,10183839.1540,5553,29123,4945104.7850,0
1722479400000,169.5900,170.4100,169.1350,170.3750,119957,1722479579999,20339947.8720,11256,65143,11050151.9930,0
1722479580000,170.3830,170.5840,170.1410,170.4880,34502,1722479759999,5877619.3470,3963,15214,2591796.3880,0
1722479760000,170.4800,170.5700,170.2290,170.4430,27751,1722479939999,4729606.3760,3395,14330,2442372.7180,0
1722479940000,170.4420,170.5850,170.1910,170.5130,25748,1722480119999,4388113.2110,3215,12119,2065660.3800,0
1722480120000,170.5130,170.5990,170.3320,170.5040,23348,1722480299999,3980046.5560,2568,10698,1823852.8220,0
1722480300000,170.5050,170.6160,169.9500,170.1760,28734,1722480479999,4891037.4550,3248,11744,1999383.3240,0
1722480480000,170.1730,170.3220,169.8720,169.9780,33386,1722480659999,5676574.1220,3328,11472,1951077.1750,0
1722480660000,169.9750,170.3420,169.8690,170.0280,17878,1722480839999,3041247.9770,2548,10002,1701379.4570,0
1722480840000,170.0290,170.3070,169.9640,170.2640,15889,1722481019999,2703086.9400,2404,9049,1539582.7950,0
1722481020000,170.2650,170.3170,169.9990,169.9990,20858,1722481199999,3550316.0260,2329,7273,1238043.3080,0
1722481200000,169.9990,169.9990,169.2000,169.4580,44095,1722481379999,7474877.9020,5271,19365,3282306.6710,0
1722481380000,169.4590,169.6580,168.7080,168.9520,89593,1722481559999,15147060.9550,8464,25493,4312347.2870,0
1722481560000,168.9520,169.1210,168.5400,169.0080,76230,1722481739999,12870534.2750,7618,33665,5685287.9050,0
1722481740000,169.0230,169.1160,168.5000,168.8720,66054,1722481919999,11145581.0340,6406,24694,4167471.7680,0
1722481920000,168.8720,169.4000,168.8720,168.9400,41896,1722482099999,7084989.4090,4249,22851,3865181.8200,0
1722482100000,168.9410,169.3400,168.7490,168.7490,36881,1722482279999,6231927.9840,4207,22087,3732232.0290,0
1722482280000,168.7480,169.3950,168.4570,169.3280,54773,1722482459999,9249024.9790,6364,31308,5288313.4860,0
1722482460000,169.3280,169.7010,169.1930,169.6900,48493,1722482639999,8216441.8000,5795,30248,5125507.9750,0
1722482640000,169.6960,169.7480,169.4180,169.5650,30011,1722482819999,5089799.2740,3670,17143,2907596.6330,0
1722482820000,169.5660,169.9520,169.5240,169.9360,31601,1722482999999,5363632.9310,3945,21978,3730564.9990,0
1722483000000,169.9370,169.9720,169.5200,169.7810,28144,1722483179999,4775450.2580,3355,16050,2723364.7890,0
1722483180000,169.7550,169.7550,169.2940,169.3410,23347,1722483359999,3958479.1210,3091,12309,2087298.5150,0
1722483360000,169.3410,169.3910,169.1110,169.1510,23450,1722483539999,3968812.6370,2909,14023,2373432.9340,0
1722483540000,169.1510,169.3610,169.0290,169.3490,20691,1722483719999,3500348.4400,2510,11134,1883177.9030,0
1722483720000,169.3480,169.4260,169.1810,169.3110,19295,1722483899999,3267396.6420,2068,8841,1497049.1630,0
1722483900000,169.3090,169.6540,169.1920,169.5150,20567,1722484079999,3484409.7300,2477,14446,2447349.9570,0
1722484080000,169.5170,169.5390,169.2760,169.3010,17300,1722484259999,2930198.4970,2052,9257,1567859.8290,0
1722484260000,169.3020,169.3990,169.0340,169.0450,24263,1722484439999,4105924.7610,2105,8132,1376014.4930,0
1722484440000,169.0460,169.0840,168.6070,168.6100,48504,1722484619999,8190788.3030,4011,14531,2454159.0940,0
1722484620000,168.6090,168.8610,168.5950,168.5950,25780,1722484799999,4348987.9060,2911,12940,2183016.5730,0
1722484800000,168.5950,168.9890,168.5800,168.9890,42719,1722484979999,7209963.4820,4875,30997,5231698.0170,0
1722484980000,168.9880,169.0520,168.8030,169.0470,22899,1722485159999,3868605.0960,2683,13335,2252962.5950,0
1722485160000,169.0410,169.1350,168.7560,168.7680,18923,1722485339999,3197875.3010,2456,10757,1817871.2620,0
1722485340000,168.7670,168.8130,168.5950,168.6060,16793,1722485519999,2832376.7320,2437,9865,1663911.7240,0
1722485520000,168.6050,168.9000,168.5880,168.6040,21841,1722485699999,3685596.5010,2568,14257,2405986.0090,0
1722485700000,168.6050,168.6200,168.1300,168.3060,59954,1722485879999,10095044.1550,7288,18452,3107311.4850,0
1722485880000,168.3060,168.3160,168.0030,168.1190,52318,1722486059999,8795745.0740,5650,20795,3496381.5460,0
1722486060000,168.1190,168.2710,167.6720,167.8000,104812,1722486239999,17604128.5550,8049,22581,3792985.6030,0
1722486240000,167.8000,167.8990,167.2150,167.4390,93363,1722486419999,15645635.3640,9456,32737,5487878.4920,0
1722486420000,167.4390,167.7200,167.0270,167.6000,110297,1722486599999,18448279.0950,9123,50466,8443186.1370,0
1722486600000,167.5990,167.9940,167.4570,167.5690,41138,1722486779999,6899744.8040,4686,17584,2949223.7810,0
1722486780000,167.5680,167.9870,167.2620,167.7650,44825,1722486959999,7512825.8490,4656,22223,3724150.2990,0
1722486960000,167.7680,167.9110,167.2480,167.6650,40425,1722487139999,6770703.4960,4547,20080,3364245.1090,0
1722487140000,167.6660,167.8840,167.2780,167.3010,32543,1722487319999,5453573.8320,3936,14821,2483263.7900,0
1722487320000,167.3000,167.3450,167.0000,167.2090,63838,1722487499999,10670120.5000,5600,28329,4735795.7750,0
1722487500000,167.2050,167.4000,166.6110,166.6500,90351,1722487679999,15085984.9480,8941,31993,5343827.3520,0
1722487680000,166.6500,166.8300,166.2190,166.4300,152752,1722487859999,25440330.5470,15555,66376,11056184.2270,0
1722487860000,166.4310,166.6840,166.2340,166.3190,52138,1722488039999,8679094.3420,5960,23232,3867636.0850,0
1722488040000,166.3190,166.8260,166.1440,166.2210,104960,1722488219999,17469914.1160,8359,49027,8159251.2250,0
1722488220000,166.2230,166.6830,165.9750,166.5900,77923,1722488399999,12957705.9040,7905,32348,5380476.9590,0
1722488400000,166.5890,166.6390,165.9730,166.3510,57955,1722488579999,9639670.8640,6918,28023,4662036.1910,0
1722488580000,166.3510,166.5500,166.1170,166.2520,41353,1722488759999,6874837.6370,4866,20642,3431786.9490,0
1722488760000,166.2520,167.0840,166.1680,166.9320,52507,1722488939999,8754046.2200,5855,32815,5471160.9970,0
1722488940000,166.9200,167.3400,166.8330,167.2210,64934,1722489119999,10855545.2160,6070,31770,5311086.6260,0
1722489120000,167.2210,168.1270,167.2200,168.0640,193142,1722489299999,32422778.7960,10223,91837,15409865.5320,0
1722489300000,168.0640,168.1640,167.7480,168.0330,99994,1722489479999,16797470.6030,7694,55511,9325339.8330,0
1722489480000,168.0330,168.2890,167.6900,167.7290,75035,1722489659999,12610910.1390,6113,35739,6007361.9860,0
1722489660000,167.7420,168.2010,167.5670,167.9080,50145,1722489839999,8417102.1580,5360,29114,4887333.2700,0
1722489840000,167.9110,168.9720,167.7350,168.6670,162225,1722490019999,27335352.0970,12501,97439,16416894.4400,0
1722490020000,168.6680,169.2550,168.6500,169.1720,102039,1722490199999,17243149.8680,9025,57341,9690106.8340,0
1722490200000,169.1730,169.2440,168.8960,169.1640,61730,1722490379999,10436647.6740,7466,33534,5669790.6850,0
1722490380000,169.1650,169.4800,169.0010,169.2450,86022,1722490559999,14558459.6440,7453,51516,8718056.0820,0
1722490560000,169.2380,169.2380,168.6840,168.8620,33065,1722490739999,5585064.5220,3937,14704,2483661.6690,0
1722490740000,168.8710,168.8740,168.5760,168.8190,22636,1722490919999,3819179.6310,3008,12745,2150355.9830,0
1722490920000,168.8180,169.4710,168.7800,169.3820,47398,1722491099999,8018634.5080,4433,33752,5710105.0050,0
1722491100000,169.3810,169.4590,168.9570,168.9770,37898,1722491279999,6411888.5190,4307,17488,2959578.3940,0
1722491280000,168.9760,169.3670,168.9260,169.2800,24815,1722491459999,4197716.6880,3706,14571,2464736.9800,0
1722491460000,169.2800,169.3600,169.1300,169.2340,31639,1722491639999,5354981.9690,3070,16002,2708259.4160,0
1722491640000,169.2260,169.2760,169.0480,169.0620,23809,1722491819999,4027683.1230,2329,11399,1928493.0670,0
1722491820000,169.0620,169.1580,168.7930,168.9620,25055,1722491999999,4233586.7120,2809,10744,1815537.7980,0
1722492000000,168.9520,169.0010,168.5720,168.9640,33008,1722492179999,5570464.1140,4079,16478,2780790.2130,0
