open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,147.4700,147.7500,147.4700,147.7000,46691.04,1746057779999,6891952.060200,4601,17806.52,2628588.332600,0
1746057780000,147.7000,147.8800,147.5000,147.8100,32123.10,1746057959999,4746095.827900,3940,14468.63,2137684.180300,0
1746057960000,147.8100,148.0600,147.7800,148.0300,24101.87,1746058139999,3565186.977400,3402,12652.62,1871804.748400,0
1746058140000,148.0300,148.3900,147.9100,148.3300,77793.41,1746058319999,11526260.185100,11897,49400.16,7320439.050100,0
1746058320000,148.3200,148.3300,148.0000,148.1000,47807.82,1746058499999,7082905.817600,5286,16015.81,2373029.535600,0
1746058500000,148.1100,148.3200,147.8400,147.9000,35784.42,1746058679999,5300860.646100,4488,12262.91,1816692.102500,0
1746058680000,147.9000,148.1300,147.8400,148.0200,27775.62,1746058859999,4110253.930700,4006,12923.57,1912093.875200,0
1746058860000,148.0200,148.1200,147.8800,148.1100,46709.33,1746059039999,6913694.151200,4583,23328.59,3453159.084500,0
1746059040000,148.1100,148.4000,147.9900,148.2900,52209.41,1746059219999,7737141.057200,4750,26890.11,3985083.273000,0
1746059220000,148.2900,148.2900,147.9100,147.9500,34197.79,1746059399999,5063396.032900,3657,9372.97,1387391.493700,0
1746059400000,147.9400,147.9500,147.5100,147.5400,58591.06,1746059579999,8653932.289300,5631,25920.96,3828599.239800,0
1746059580000,147.5500,147.7900,147.4700,147.7000,19561.10,1746059759999,2887682.806300,3049,11587.97,1710710.347800,0
1746059760000,147.7000,147.7400,147.5200,147.7300,13155.12,1746059939999,1941968.283600,2638,5195.03,766998.732900,0
1746059940000,147.7300,147.7700,147.6400,147.7100,15875.30,1746060119999,2345014.730300,2297,5526.30,816286.742400,0
1746060120000,147.7100,147.8500,147.7000,147.7100,13484.33,1746060299999,1992694.093600,2162,5443.06,804403.994900,0
1746060300000,147.7100,147.9900,147.7000,147.9800,18808.98,1746060479999,2781741.354100,2839,11284.93,1669110.407800,0
1746060480000,147.9900,148.1000,147.9800,148.1000,22052.45,1746060659999,3264627.875400,2721,15777.55,2335708.125400,0
1746060660000,148.1000,148.1000,147.9300,147.9600,12296.02,1746060839999,1820074.013800,2231,5610.97,830560.239800,0
1746060840000,147.9600,147.9700,147.7200,147.7500,26343.84,1746061019999,3895262.550100,3000,6618.56,978618.901200,0
1746061020000,147.7600,147.8900,147.6900,147.8800,15955.04,1746061199999,2357884.744400,2338,7170.30,1059693.907500,0
1746061200000,147.8900,148.2100,147.8800,148.1400,45503.95,1746061379999,6734668.946300,3860,32446.20,4802032.723600,0
1746061380000,148.1300,148.3900,148.1300,148.2600,37869.39,1746061559999,5616002.632300,4053,19488.34,2890180.709400,0
1746061560000,148.2600,148.6000,148.2200,148.4700,53077.91,1746061739999,7879233.032240,5423,29725.05,4412280.220240,0
1746061740000,148.4700,148.5200,148.2400,148.2700,40365.07,1746061919999,5990024.463300,4277,18210.39,2702351.261800,0
1746061920000,148.2700,148.4000,148.0500,148.1500,24332.07,1746062099999,3606247.665600,3341,7667.12,1136421.119200,0
1746062100000,148.1500,148.5000,148.1300,148.4700,19286.16,1746062279999,2861722.220800,2918,13078.20,1940562.179700,0
1746062280000,148.4600,148.6500,148.3500,148.6200,45348.98,1746062459999,6734327.580400,4313,25971.72,3857556.264800,0
1746062460000,148.6200,148.8300,148.4100,148.4300,49432.00,1746062639999,7349112.145200,5143,27008.08,4016543.819400,0
1746062640000,148.4300,148.6000,148.3700,148.5900,19701.74,1746062819999,2925126.161600,2826,11476.52,1703959.263100,0
1746062820000,148.5900,148.6400,148.4900,148.5200,20166.56,1746062999999,2996084.276900,2751,9318.95,1384467.357300,0
1746063000000,148.5200,148.9100,148.4900,148.8300,32740.49,1746063179999,4868956.661200,3959,21596.68,3211980.627300,0
1746063180000,148.8300,148.9100,148.8000,148.8400,29957.69,1746063359999,4459588.363700,3380,20341.57,3028132.003900,0
1746063360000,148.8400,148.9700,148.6700,148.8500,43762.24,1746063539999,6512282.294400,4643,21519.10,3202949.149300,0
1746063540000,148.8400,148.8400,148.4500,148.5200,50477.47,1746063719999,7499980.048700,4966,19396.14,2882040.171000,0
1746063720000,148.5200,148.8200,148.3800,148.7200,40670.90,1746063899999,6041492.535200,4286,23313.89,3463808.798900,0
1746063900000,148.7200,148.7300,148.5500,148.5600,22511.27,1746064079999,3346129.782300,3169,7965.79,1184006.390800,0
1746064080000,148.5700,148.7900,148.4200,148.7700,28732.92,1746064259999,4269263.447900,3450,15514.75,2305669.459100,0
1746064260000,148.7600,148.8300,148.6200,148.7600,22834.82,1746064439999,3396476.747800,2987,8195.20,1219058.529800,0
1746064440000,148.7700,148.9300,148.6900,148.8300,21016.54,1746064619999,3128258.779400,3120,9344.70,1390869.242600,0
1746064620000,148.8300,148.9200,148.6200,148.8600,25927.59,1746064799999,3857732.870900,3133,11984.14,1783368.337400,0
1746064800000,148.8600,148.9700,148.7700,148.7900,29499.08,1746064979999,4391476.644600,3704,9776.65,1455416.873300,0
1746064980000,148.7800,149.0000,148.6900,148.9800,28254.60,1746065159999,4206380.937800,4010,14125.54,2103195.057000,0
1746065160000,148.9800,149.2800,148.9500,149.1200,68570.83,1746065339999,10222699.166210,9121,42272.92,6302739.215610,0
1746065340000,149.1100,149.2800,149.0100,149.2800,29438.39,1746065519999,4390563.772100,7400,15476.99,2308475.324100,0
1746065520000,149.2800,149.2900,149.0000,149.0300,20549.41,1746065699999,3065388.697100,3761,8852.67,1320689.549300,0
1746065700000,149.0400,149.3700,149.0100,149.3400,30274.98,1746065879999,4517070.552900,4051,17225.89,2570376.014500,0
1746065880000,149.3400,149.5200,149.2500,149.4000,39279.84,1746066059999,5868826.238200,4834,25248.18,3772443.780800,0
1746066060000,149.4000,149.4300,149.2200,149.2400,32042.88,1746066239999,4785794.614000,4239,15483.97,2312761.160800,0
1746066240000,149.2400,149.4400,149.2100,149.4100,38355.08,1746066419999,5726733.874500,3814,23271.02,3474592.024400,0
1746066420000,149.4200,149.5000,149.3200,149.3700,29052.91,1746066599999,4341110.363100,3132,12566.38,1877853.116700,0
1746066600000,149.3700,149.4600,149.2500,149.3000,29249.53,1746066779999,4369031.656700,3807,17308.30,2585509.972500,0
1746066780000,149.3000,149.3700,149.2000,149.3700,21377.75,1746066959999,3191045.585900,2801,8335.00,1244287.511100,0
1746066960000,149.3700,149.5800,149.3400,149.4400,46224.77,1746067139999,6909372.563300,4303,26103.42,3902015.068200,0
1746067140000,149.4500,149.4800,148.9700,149.0100,60840.84,1746067319999,9074191.864800,6159,21667.73,3232018.536000,0
1746067320000,149.0000,149.1600,148.9600,149.0400,25888.10,1746067499999,3859037.222000,3284,11969.54,1784206.456300,0
1746067500000,149.0500,149.3500,149.0400,149.3100,58725.52,1746067679999,8758383.714500,3842,44777.30,6677569.006900,0
1746067680000,149.3000,149.3100,149.1200,149.2500,18917.79,1746067859999,2822217.879400,2693,8214.71,1225530.680200,0
1746067860000,149.2400,149.3000,148.8300,148.9200,53204.58,1746068039999,7926939.582000,4838,12225.87,1821691.946600,0
1746068040000,148.9200,149.0700,148.8100,148.9300,56150.15,1746068219999,8361924.577500,5070,30127.57,4486580.659300,0
1746068220000,148.9200,148.9400,148.4900,148.6200,75389.34,1746068399999,11208882.613600,5899,23554.77,3501980.681300,0
1746068400000,148.6300,148.8400,148.6200,148.7700,32060.24,1746068579999,4768648.060300,3814,14550.81,2164099.513700,0
1746068580000,148.7700,149.0400,148.7700,149.0200,22735.60,1746068759999,3385973.514700,3041,13488.59,2008861.663300,0
1746068760000,149.0100,149.1700,148.9600,148.9700,26883.08,1746068939999,4007192.479600,3423,13565.83,2022241.458700,0
1746068940000,148.9700,149.1600,148.9000,149.0400,20531.49,1746069119999,3059206.100100,3276,12699.73,1892305.802000,0
1746069120000,149.0400,149.1900,148.7400,148.7800,29258.02,1746069299999,4357215.869400,3565,11532.50,1718014.734900,0
1746069300000,148.7700,148.9200,148.6600,148.6700,24705.88,1746069479999,3676396.966900,3405,7518.70,1118812.275200,0
1746069480000,148.6600,148.7600,148.5500,148.7200,31994.67,1746069659999,4755605.206400,3258,12716.34,1890092.478000,0
1746069660000,148.7200,148.8500,148.6900,148.7000,29681.91,1746069839999,4415671.021900,3143,14784.99,2199924.297300,0
1746069840000,148.7000,148.7900,148.6400,148.6400,18029.63,1746070019999,2681131.961200,2370,7234.50,1075758.482600,0
1746070020000,148.6300,148.6500,148.5100,148.5500,23732.04,1746070199999,3525978.910900,2454,11301.53,1679073.914800,0
1746070200000,148.5400,148.7100,148.4700,148.5500,36568.92,1746070379999,5433713.650800,4068,15053.42,2236693.001900,0
1746070380000,148.5600,148.7800,148.3200,148.7400,42425.05,1746070559999,6300374.793200,4317,23729.89,3524414.475700,0
1746070560000,148.7400,148.9900,148.7300,148.8200,30620.23,1746070739999,4559304.174600,3275,18650.72,2777011.291900,0
1746070740000,148.8100,148.9400,148.7400,148.8800,17834.00,1746070919999,2654886.658200,3177,8154.74,1214046.281900,0
1746070920000,148.8900,148.9700,148.8400,148.8600,21681.58,1746071099999,3228659.429500,2226,9319.94,1387968.966700,0
1746071100000,148.8700,148.8700,148.6000,148.7200,31069.97,1746071279999,4620709.703300,3178,13328.13,1982014.179800,0
1746071280000,148.7200,148.7600,148.6200,148.6600,19175.27,1746071459999,2851422.508700,2216,10623.40,1579746.667500,0
1746071460000,148.6600,148.7400,148.5900,148.6600,11586.19,1746071639999,1722333.536300,1891,6355.60,944805.440000,0
1746071640000,148.6600,148.6800,148.4800,148.6100,22761.90,1746071819999,3381359.221100,2502,10524.69,1563449.939300,0
1746071820000,148.6100,148.6500,148.5700,148.6500,15081.32,1746071999999,2241298.626900,1741,7866.69,1169161.801000,0
1746072000000,148.6500,148.8700,148.6000,148.6200,32995.79,1746072179999,4907594.597700,4122,18753.46,2789283.120500,0
1746072180000,148.6200,148.6300,148.4000,148.6200,35871.03,1746072359999,5326495.920100,3330,11540.74,1713971.049900,0
1746072360000,148.6200,148.7800,148.5600,148.7300,18566.02,1746072539999,2760668.033000,2632,11329.29,1684665.241800,0
1746072540000,148.7200,148.9900,148.6200,148.9400,32352.75,1746072719999,4816318.029300,3856,19461.11,2897180.031700,0
1746072720000,148.9300,148.9500,148.4500,148.4700,45002.68,1746072899999,6689704.845600,4316,11683.62,1736568.308500,0
1746072900000,148.4800,148.5500,148.2100,148.3100,25809.31,1746073079999,3828857.590000,3694,11333.65,1681277.275500,0
1746073080000,148.3000,148.3700,148.1300,148.3500,28367.39,1746073259999,4205038.184800,3167,17148.54,2541938.302300,0
1746073260000,148.3500,148.4000,148.2500,148.4000,14188.25,1746073439999,2104660.375500,2634,7851.04,1164668.475300,0
1746073440000,148.3900,148.4300,148.1600,148.2200,24539.54,1746073619999,3639390.000000,2709,12684.67,1880643.637800,0
1746073620000,148.2200,148.3000,148.0200,148.0400,33993.42,1746073799999,5034763.496800,3508,14811.51,2193903.431000,0
1746073800000,148.0400,148.1600,147.9100,148.0300,49724.75,1746073979999,7361109.160000,9599,22348.03,3308888.042100,0
1746073980000,148.0300,148.0800,147.9300,148.0600,25884.86,1746074159999,3831330.307000,3137,16045.79,2374984.865600,0
1746074160000,148.0600,148.3200,148.0200,148.1400,21052.43,1746074339999,3120540.511100,2982,13423.60,1989740.297700,0
1746074340000,148.1400,148.3700,148.1300,148.3500,10050.79,1746074519999,1490237.161100,2389,5257.49,779582.240500,0
1746074520000,148.3500,148.4500,148.2000,148.4200,19796.97,1746074699999,2937042.922300,2555,10933.54,1622139.502100,0
1746074700000,148.4200,148.4500,148.3200,148.3200,11963.24,1746074879999,1774998.244400,1753,3650.94,541688.567900,0
1746074880000,148.3200,148.3700,148.2500,148.3100,11137.25,1746075059999,1651677.333200,1881,7274.08,1078759.929700,0
1746075060000,148.3100,148.4000,148.2100,148.3900,14340.29,1746075239999,2127192.817300,1958,10225.86,1516895.884600,0
1746075240000,148.4000,148.4900,148.3900,148.4300,14176.11,1746075419999,2104544.783700,2025,8346.68,1239129.460200,0
1746075420000,148.4300,148.5600,148.4100,148.4800,10659.72,1746075599999,1582934.656300,1865,6273.04,931572.193200,0
1746075600000,148.4800,148.5900,148.4100,148.4100,27901.75,1746075779999,4143599.120500,3166,15766.54,2341433.714100,0
1746075780000,148.4100,148.4100,148.2000,148.2300,12190.26,1746075959999,1807737.180300,2280,4709.07,698312.019800,0
1746075960000,148.2200,148.5200,148.1800,148.4700,18015.77,1746076139999,2671549.462900,2512,12521.80,1856807.732100,0
1746076140000,148.4600,148.8600,148.4600,148.7900,43812.84,1746076319999,6515889.948300,4159,27113.66,4032539.775800,0
