open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706745600000,96.9100,97.5980,96.8160,97.5150,87758,1706745779999,8535801.8830,9534,56759,5521415.0650,0
1706745780000,97.5140,97.5140,97.0600,97.1320,42721,1706745959999,4155009.3930,5136,23326,2268575.6210,0
1706745960000,97.1310,97.4110,97.0150,97.3060,49447,1706746139999,4804304.4750,6023,23463,2280464.2670,0
1706746140000,97.3050,97.4300,97.1110,97.3590,22335,1706746319999,2173243.3500,3448,10782,1049136.2060,0
1706746320000,97.3590,97.5470,97.2410,97.4440,17655,1706746499999,1719632.7610,3135,9365,912298.8090,0
1706746500000,97.4430,97.6770,97.3920,97.4550,24224,1706746679999,2361783.4260,3641,15157,1477950.6880,0
1706746680000,97.4550,97.5000,97.2160,97.2470,32223,1706746859999,3136726.0790,3837,11002,1070856.5750,0
1706746860000,97.2470,97.2470,96.9300,96.9590,76111,1706747039999,7388016.1720,7485,25436,2469543.3400,0
1706747040000,96.9640,97.1890,96.8310,96.9420,62496,1706747219999,6059784.7910,6034,31067,3012008.1870,0
1706747220000,96.9410,96.9650,96.7000,96.9600,38569,1706747399999,3734239.6630,4967,14715,1425042.9500,0
1706747400000,96.9610,97.0890,96.7420,96.7760,27502,1706747579999,2664882.4370,4070,13636,1321474.3980,0
1706747580000,96.7770,96.9930,96.5710,96.6690,44609,1706747759999,4315311.4700,5317,20711,2003945.3460,0
1706747760000,96.6690,96.6690,96.3100,96.3670,56127,1706747939999,5413390.6600,7782,20497,1977032.1880,0
1706747940000,96.3660,96.4850,96.0200,96.2270,79054,1706748119999,7604827.3840,9958,31773,3057022.1330,0
1706748120000,96.2280,96.6000,96.1790,96.5300,48040,1706748299999,4632331.3260,7179,27063,2609613.1560,0
1706748300000,96.5280,97.0790,96.5200,96.8200,56041,1706748479999,5426851.5960,7950,34439,3334617.1560,0
1706748480000,96.8210,97.1590,96.7770,97.1230,32734,1706748659999,3175067.3370,4589,17759,1722775.2140,0
