open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,115697.30,115697.40,115624.20,115660.90,489.719,1754006579999,56642373.68730,9679,270.982,31342398.19350,0
1754006580000,115660.80,115769.20,115650.40,115733.20,399.159,1754006759999,46193437.30110,8895,265.913,30773005.64800,0
1754006760000,115733.20,115740.40,115678.10,115740.40,207.037,1754006939999,23956413.78010,6076,130.495,15099746.88550,0
1754006940000,115740.40,115772.60,115445.20,115445.20,557.729,1754007119999,64448260.65050,10923,228.404,26399891.12620,0
1754007120000,115445.20,115449.00,115244.30,115248.30,1447.986,1754007299999,166993475.15810,21002,511.543,58993670.84960,0
1754007300000,115248.20,115586.20,115248.20,115577.50,828.638,1754007479999,95636463.92120,16213,507.154,58532487.64380,0
1754007480000,115577.50,115820.00,115577.40,115691.80,873.490,1754007659999,101087673.04290,15728,373.125,43180103.11230,0
1754007660000,115691.70,115843.40,115650.80,115800.10,418.980,1754007839999,48512613.30890,10296,268.682,31109398.16720,0
1754007840000,115800.10,115877.80,115718.30,115758.70,560.201,1754008019999,64882224.38090,11546,298.313,34549902.76510,0
1754008020000,115758.70,115785.60,115538.60,115734.90,535.478,1754008199999,61925412.15810,10879,282.663,32688355.42020,0
1754008200000,115734.90,115734.90,115540.70,115540.70,294.946,1754008379999,34110535.87160,8823,147.596,17070742.10760,0
1754008380000,115540.70,115563.60,115358.60,115421.00,367.761,1754008559999,42454553.51680,9489,162.926,18807347.88500,0
1754008560000,115421.00,115637.90,115412.40,115590.20,288.002,1754008739999,33280795.46680,9044,177.151,20470766.51800,0
1754008740000,115590.30,115650.00,115506.80,115506.80,223.170,1754008919999,25799996.17080,7149,120.475,13928031.90320,0
1754008920000,115506.90,115622.80,115422.20,115450.00,246.431,1754009099999,28461966.51680,9429,125.037,14440536.10580,0
1754009100000,115450.10,115458.80,115205.80,115285.10,913.175,1754009279999,105264631.36670,21065,338.553,39025779.72380,0
1754009280000,115285.10,115289.40,114844.90,114867.00,2398.559,1754009459999,275955884.80760,38270,505.191,58117808.11990,0
1754009460000,114867.10,114889.90,114239.00,114702.10,7096.511,1754009639999,812602020.26460,93401,2936.868,336298906.32770,0
1754009640000,114702.10,115243.90,114702.10,115243.90,2203.276,1754009819999,253442506.36280,37969,1112.737,127994553.33540,0
1754009820000,115243.80,115454.10,115146.90,115366.90,1145.286,1754009999999,132065471.81650,20248,579.960,66884036.67590,0
1754010000000,115366.90,115547.20,115332.50,115490.10,933.610,1754010179999,107771752.95830,20200,529.610,61138924.76980,0
1754010180000,115490.10,115547.20,115070.30,115226.10,1184.575,1754010359999,136592550.01450,23408,388.389,44787837.47880,0
1754010360000,115226.10,115264.80,114815.00,114928.50,808.341,1754010539999,92975800.54740,21093,315.148,36253084.67860,0
1754010540000,114928.50,115013.30,114703.70,114740.50,880.911,1754010719999,101164599.11020,24108,425.670,48890135.59770,0
1754010720000,114740.40,114837.90,114525.00,114584.90,867.328,1754010899999,99474912.57730,19993,367.355,42141585.41910,0
1754010900000,114584.90,114882.00,114575.70,114708.40,854.641,1754011079999,98059822.35950,24604,523.684,60087947.09310,0
1754011080000,114708.50,115088.50,114650.70,115059.60,869.284,1754011259999,99853774.81420,20801,487.725,56033016.87990,0
1754011260000,115059.60,115100.00,114873.30,114985.60,838.408,1754011439999,96416460.63980,20468,513.045,59004535.63650,0
